TX 3 GAIN 0 INT 4
RX 3 GAIN -6 DEC 4
RTX 1400000 
RRX 1400000
BWTX 280000
BWRX 280000
0,1
2,3
5,5
8,9
11,12
13,14
13,14
10,11
3,3
-8,-9
  -24,-25
-42,-44
-59,-62
-73,-77
-80,-84
-75,-79
-56,-59
-22,-23
26,27
85,90
149,157
209,220
253,267
272,287
255,269
196,207
94,99
-45,-47
-212,-223
-387,-408
-546,-576
-664,-700
-715,-753
-676,-713
-537,-565
-294,-310
36,38
428,451
839,884
1216,1281
1501,1581
1638,1725
1581,1665
1300,1370
792,834
80,84
-780,-822
-1705,-1797
-2588,-2726
-3304,-3481
-3728,-3928
-3743,-3944
-3256,-3430
-2210,-2328
-592,-623
1557,1641
4149,4371
7043,7420
10065,10604
13016,13712
15689,16528
17892,18849
19461,20502
20276,21361
20276,21361
19461,20502
17892,18849
15689,16528
13016,13712
10065,10604
7043,7420
4149,4371
1557,1641
-592,-623
-2210,-2328
-3256,-3430
-3743,-3944
-3728,-3928
-3304,-3481
-2588,-2726
-1705,-1797
-780,-822
80,84
792,834
1300,1370
1581,1665
1638,1725
1501,1581
1216,1281
839,884
428,451
36,38
-294,-310
-537,-565
-676,-713
-715,-753
-664,-700
-546,-576
-387,-408
-212,-223
-45,-47
94,99
196,207
255,269
272,287
253,267
209,220
149,157
85,90
26,27
-22,-23
-56,-59
-75,-79
-80,-84
-73,-77
-59,-62
-42,-44
-24,-25
-8,-9
  3,3
10,11
13,14
13,14
11,12
8,9
5,5
2,3
0,1
